"Actual Class","Predicted Class"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","neg"
"pos","pos"
"pos","neg"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","neg"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","neg"
"pos","pos"
"pos","neg"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"pos","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","pos"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
"neg","neg"
